,quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
168,2024Q4,ADP,Staffing & Employment Services,Industrials,0.0585958403474749,119111837000.0,291.18,0.0427863788108364,0.0081049522632048,114
169,2024Q1,ADSK,Software - Application,Technology,0.2716908797417272,55990300000.0,260.42,0.0332855552533039,0.0050687351201904,241
170,2024Q2,ADSK,Software - Application,Technology,0.2726347914547304,53449200000.0,247.45,0.0406189646017283,0.0047282279248333,242
171,2024Q3,ADSK,Software - Application,Technology,0.2680722891566265,59228200000.0,275.48,0.0415772604316237,0.0047553361405546,227
172,2024Q4,ADSK,Software - Application,Technology,0.2544162636928846,63251980000.0,295.57,0.0411660244966171,0.0043306154210508,224
185,2024Q3,AEE,Regulated Electric,Utilities,0.4217515820592175,23386804000.0,86.2,0.5149054084866924,0.0198375870069605,478
186,2024Q4,AEE,Regulated Electric,Utilities,0.0327368940311224,24067800000.0,88.5,0.5118973669865496,0.0087005649717514,470
203,2024Q1,AEP,Regulated Electric,Utilities,0.4520955633354681,45336130299.0,82.17,0.5963767011092534,0.0232444931240111,303
204,2024Q2,AEP,Regulated Electric,Utilities,0.4450797309044333,46405582115.0,84.56,0.5843704662067521,0.0075685903500473,280
205,2024Q3,AEP,Regulated Electric,Utilities,0.4416859520311309,54387508147.0,99.78,0.5012334178406859,0.0180396873120865,246
206,2024Q4,AEP,Regulated Electric,Utilities,0.4328274215713814,48890447138.0,90.57,0.5612064810484656,0.0138014795186043,285
223,2024Q4,AEVA,Auto - Parts,Consumer Cyclical,0.02548664646177,260062918000.0,4.75,0.3874361429811653,-0.1410526315789473,36
405,2024Q1,ALC,Medical - Instruments & Supplies,Healthcare,0.1715880263825469,41128602000.0,82.73,0.5098149973976841,0.0060437567992263,337
406,2024Q2,ALC,Medical - Instruments & Supplies,Healthcare,0.1712766673396594,44050060000.0,88.77,0.4768186704646686,0.0050692801622169,299
407,2024Q4,ALC,Medical - Instruments & Supplies,Healthcare,0.1692424292351797,41969616000.0,84.59,0.515359447492971,0.0067383851519092,328
424,2024Q1,ALGN,Medical - Devices,Healthcare,0.0205362332542853,24651386000.0,327.92,0.152521241604833,0.0042693339838985,467
465,2024Q2,ALNY,Biotechnology,Healthcare,0.6754329696924957,30651534000.0,243.0,-9.959047112397508e-05,-0.0005349794238683,389
466,2024Q3,ALNY,Biotechnology,Healthcare,0.3095876161909556,34855376990.0,275.03,0.0009148306699297,-0.0031632912773152,372
467,2024Q4,ALNY,Biotechnology,Healthcare,0.3012792036481329,30258512900.0,235.31,0.0022171611745004,-0.0027623135438357,411
502,2024Q1,AMAT,Semiconductors,Technology,0.1898858592263792,171170900000.0,203.93,0.1028466918670271,0.0119158534791349,67
503,2024Q2,AMAT,Semiconductors,Technology,0.1877367053741901,194927740000.0,233.78,0.0937911969548138,0.0088544785695953,51
504,2024Q3,AMAT,Semiconductors,Technology,0.1982643326299521,166085100000.0,200.54,0.1137364949986127,0.010272264884811,77
505,2024Q4,AMAT,Semiconductors,Technology,0.1919555930134557,132380820000.0,161.8,0.1428650913235829,0.0130407911001236,104
514,2024Q1,AMD,Semiconductors,Technology,0.0441564179983798,317146714259.0,180.49,0.1771987457954261,0.0004432378525126,31
515,2024Q2,AMD,Semiconductors,Technology,0.0330701470111657,268660312500.0,162.21,0.2104441831169238,0.0009863756858393,37
516,2024Q3,AMD,Semiconductors,Technology,0.0321385490263656,271757500000.0,164.08,0.2143827762428444,0.0029254022428083,33
517,2024Q4,AMD,Semiconductors,Technology,0.0319533123392944,195679800000.0,120.79,0.2936511057799451,0.0024836493087176,58
518,2024Q1,AME,Industrial - Machinery,Industrials,0.2090139906670583,42267641300.0,181.71,0.2135663745368028,0.0074294205052005,326
519,2024Q2,AME,Industrial - Machinery,Industrials,0.1908589196468797,38582862270.0,165.89,0.2409914248323839,0.0088010127192718,326
520,2024Q3,AME,Industrial - Machinery,Industrials,0.1694926318282834,39817903846.0,171.15,0.2412026768588506,0.0085889570552147,337
521,2024Q4,AME,Industrial - Machinery,Industrials,0.1421431876017562,41800566928.0,179.94,0.2313957780740476,0.0092808714015783,330
535,2024Q1,AMGN,Drug Manufacturers - General,Healthcare,0.6885351688535168,152395520000.0,273.49,0.0342586675383912,-0.0007678525723061,79
536,2024Q2,AMGN,Drug Manufacturers - General,Healthcare,0.6891108495495396,167785650000.0,302.69,0.0364515496153577,0.0045921569923023,69
537,2024Q3,AMGN,Drug Manufacturers - General,Healthcare,0.6645687312258618,174160060222.0,314.31,0.0445953351039938,0.0167668861951576,74
538,2024Q4,AMGN,Drug Manufacturers - General,Healthcare,0.6543951915852743,140880413694.0,256.29,0.0424242797920995,0.0045261227515704,90
591,2024Q1,AMX,Telecommunications Services,Communication Services,0.5398707132135743,58125900000.0,18.11,6.982511901142741,0.2429596907785754,232
592,2024Q2,AMX,Telecommunications Services,Communication Services,0.5384303158694814,52615000000.0,16.49,8.17964772305338,-0.0212249848392965,245
593,2024Q3,AMX,Telecommunications Services,Communication Services,0.4233905986739437,50307000000.0,16.11,9.629447951835198,0.1241464928615766,271
594,2024Q4,AMX,Telecommunications Services,Communication Services,0.4326412157054076,45221961150.0,14.31,8.261365639601413,0.2096436058700209,305
595,2024Q1,AMZN,Specialty Retail,Consumer Cyclical,0.2536607598560368,1874689340000.0,180.38,0.1155716818659672,0.005543851868278,4
596,2024Q2,AMZN,Specialty Retail,Consumer Cyclical,0.2396695853414993,2018882750000.0,193.25,0.1171177474273827,0.0066752910737386,5
597,2024Q3,AMZN,Specialty Retail,Consumer Cyclical,0.2303900271284547,1951434090000.0,186.33,0.1324461829384799,0.0078355605645897,5
598,2024Q4,AMZN,Specialty Retail,Consumer Cyclical,0.2094755270493875,2326192170000.0,219.39,0.1244607872508422,0.0087059574274123,5
607,2024Q1,ANET,Computer Hardware,Technology,0.0,90779280000.0,72.5,0.0866091359173591,0.0070344827586206,149
608,2024Q2,ANET,Computer Hardware,Technology,0.0,109949431280.0,87.62,0.0766789596076208,0.006048847295138,123
609,2024Q3,ANET,Computer Hardware,Technology,0.0,120939251639.0,95.96,0.076595393539417,0.0062526052521884,103
610,2024Q4,ANET,Computer Hardware,Technology,0.0,139267800000.0,110.53,0.071749223392102,0.0057902831810368,93
623,2024Q1,ANSS,Software - Application,Technology,0.1187749408635639,30226179720.0,347.16,0.1789721046494194,0.0011522064754003,414
624,2024Q2,ANSS,Software - Application,Technology,0.1155459679231762,27992040500.0,321.5,0.1989691080012927,0.0046345256609642,421
625,2024Q3,ANSS,Software - Application,Technology,0.1107978327757896,27826595160.0,318.63,0.209307234022862,0.004613501553526,422
