quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2024Q3,ABM,Specialty Business Services,Industrials,0.2948773906832791,3334432000.0,51.98,0.5594617947046561,0.0014332435552135,1551
2024Q4,ABM,Specialty Business Services,Industrials,0.2849407517852939,3208986000.0,50.64,0.5567345571619974,-0.0037519747235387,1591
2024Q1,ABNB,Travel Services,Consumer Cyclical,0.08366956025594,105244480000.0,164.96,0.0750253124914484,0.0024854510184287,126
2024Q2,ABNB,Travel Services,Consumer Cyclical,0.0863981762917933,96285050000.0,151.63,0.0831073982928814,0.0058036008705401,136
2024Q3,ABNB,Travel Services,Consumer Cyclical,0.1018852606891575,79002630000.0,126.81,0.1060773127147431,0.0171122151249901,170
2024Q4,ABNB,Travel Services,Consumer Cyclical,0.1094517868218903,81605610000.0,131.41,0.1027502298505052,0.0056312304999619,166
2024Q1,ABT,Medical - Devices,Healthcare,0.2012778230090938,197095118850.0,110.88,0.2018469578362347,0.0064033189033189,53
2024Q2,ABT,Medical - Devices,Healthcare,0.2020625333826369,180187874359.0,101.87,0.2225752628749316,0.0073623245312653,62
2024Q3,ABT,Medical - Devices,Healthcare,0.2014497821292162,197430887953.0,112.36,0.2042040823916663,0.0084549661801352,57
2024Q4,ABT,Medical - Devices,Healthcare,0.1845014370992704,197628054200.0,112.0,0.245753838592649,0.0475892857142857,56
2024Q1,ACA,Industrial - Infrastructure Operations,Industrials,0.1732777187099588,4172796000.0,85.61,0.5717127659958792,0.0094615115056652,1374
2024Q2,ACA,Industrial - Infrastructure Operations,Industrials,0.192573334383781,4045385000.0,83.22,0.5971083636708887,0.0112953616919009,1371
2024Q3,ACA,Industrial - Infrastructure Operations,Industrials,0.2838945121531364,4605336000.0,94.6,0.5283458721689943,0.0035940803382663,1334
2024Q4,ACA,Industrial - Infrastructure Operations,Industrials,0.3435866137727596,4711238000.0,96.63,0.5159926483478864,-0.0016558004760426,1313
2024Q1,ACAD,Biotechnology,Healthcare,0.12727238706916,3047373879.0,18.49,0.1522896237766568,0.0054083288263926,1606
2024Q2,ACAD,Biotechnology,Healthcare,0.11469436023888,2677967500.0,16.25,0.192067236542957,0.0123076923076923,1694
2024Q3,ACAD,Biotechnology,Healthcare,0.0505390697617283,2546174380.0,15.38,0.2261074528993472,0.0130039011703511,1740
2024Q4,ACAD,Biotechnology,Healthcare,0.043775826011403,3045622900.0,18.35,0.2397947784744498,0.0474114441416893,1627
2024Q1,ACDC,Oil & Gas Equipment & Services,Energy,0.3827735284336548,1333420000.0,8.36,0.9550629209101408,0.0004545454545454,2228
2024Q2,ACDC,Oil & Gas Equipment & Services,Energy,0.4179864074600917,1187082000.0,7.41,1.0177056007925316,-0.0566801619433198,2282
2024Q3,ACDC,Oil & Gas Equipment & Services,Energy,0.4227310415205051,1087758000.0,6.79,1.0133578148414235,-0.0427098674521354,2293
2024Q4,ACDC,Oil & Gas Equipment & Services,Energy,0.4344232120745624,1242376000.0,7.76,0.8104631770092147,-0.0373711340206185,2238
2024Q1,ACGL,Insurance - Diversified,Financial Services,0.0519013360739979,34285996000.0,87.9,0.5936732315791831,0.0340159271899886,381
2024Q2,ACGL,Insurance - Diversified,Financial Services,0.0416558466356068,37420101000.0,95.94,0.5779314155239342,0.035230352303523,337
2024Q3,ACGL,Insurance - Diversified,Financial Services,0.0370234604105571,41697676000.0,106.39,0.560990841699839,0.0246263746592724,322
2024Q4,ACGL,Insurance - Diversified,Financial Services,0.0384734719205709,34465020000.0,92.35,0.6039289318942498,0.0268543584190579,374
2024Q1,ACGLN,Insurance - Diversified,Financial Services,0.0519013360739979,34285996000.0,19.5,2.6760962592723176,0.1533333333333333,381
2024Q2,ACGLN,Insurance - Diversified,Financial Services,0.0416558466356068,37420101000.0,18.41,3.011772949775461,0.1835958718087995,337
2024Q3,ACGLN,Insurance - Diversified,Financial Services,0.0370234604105571,41697676000.0,19.82,3.0112924141496404,0.1321897073662966,322
2024Q4,ACGLN,Insurance - Diversified,Financial Services,0.0384734719205709,34465020000.0,17.62,3.1653142372550493,0.1407491486946651,374
2024Q1,ACGLO,Insurance - Diversified,Financial Services,0.0519013360739979,34285996000.0,22.23,2.347452859010805,0.1345029239766082,381
2024Q2,ACGLO,Insurance - Diversified,Financial Services,0.0416558466356068,37420101000.0,21.4,2.590969159129264,0.1579439252336448,337
2024Q3,ACGLO,Insurance - Diversified,Financial Services,0.0370234604105571,41697676000.0,22.6,2.6408767986037995,0.115929203539823,322
2024Q4,ACGLO,Insurance - Diversified,Financial Services,0.0384734719205709,34465020000.0,20.87,2.6723927580466684,0.1188308576904647,374
2024Q1,ACHC,Medical - Care Facilities,Healthcare,0.36012616437147,7237776860.0,79.22,0.395980983586167,0.0106033829840949,1030
2024Q2,ACHC,Medical - Care Facilities,Healthcare,0.34762555890647,6188555120.0,67.54,0.4771255879191393,0.0127331951436185,1107
2024Q3,ACHC,Medical - Care Facilities,Healthcare,0.3424285366539606,5819072290.0,63.41,0.5212407391983708,0.011670083583031,1172
2024Q4,ACHC,Medical - Care Facilities,Healthcare,0.349878922227361,3634081100.0,39.65,0.8447426186621305,0.0090794451450189,1492
2024Q1,ACHR,Aerospace & Defense,Industrials,0.0661577608142493,1479585473.0,4.62,0.2562879987581023,-0.0779220779220779,2145
2024Q2,ACHR,Aerospace & Defense,Industrials,0.1049586776859504,1175934246.0,3.52,0.2840294864388851,-0.0909090909090909,2288
2024Q3,ACHR,Aerospace & Defense,Industrials,0.1204911742133538,1204488866.0,3.03,0.3882974870669986,-0.0957095709570957,2247
2024Q4,ACHR,Aerospace & Defense,Industrials,0.0789053136236516,3875830510.0,9.75,0.1941777376387161,-0.0297435897435897,1446
2024Q1,ACI,Grocery Stores,Consumer Defensive,0.520418688161363,12405184000.0,20.75,0.229758178993956,0.020722891566265,748
2024Q2,ACI,Grocery Stores,Consumer Defensive,0.568228707289949,11427350000.0,19.23,0.2618169019882123,0.0218408736349453,761
2024Q3,ACI,Grocery Stores,Consumer Defensive,0.5353809502269267,10692528000.0,18.1,0.2883985539490444,0.0138121546961325,807
2024Q4,ACI,Grocery Stores,Consumer Defensive,0.5329098116278459,11363704000.0,19.36,0.3004634298234839,0.0356404958677685,792
2024Q1,ACIW,Software - Infrastructure,Technology,0.3192660083431282,3546794790.0,33.21,0.3544194334400722,-0.0021860885275519,1480
2024Q2,ACIW,Software - Infrastructure,Technology,0.3123820093013524,4228172410.0,39.59,0.2964002161679967,0.0073250820914372,1345
2024Q3,ACIW,Software - Infrastructure,Technology,0.3319957904742506,5364605500.0,50.9,0.2493308853353205,0.0153241650294695,1227
2024Q4,ACIW,Software - Infrastructure,Technology,0.316145907189816,5438610700.0,51.91,0.261059458946813,0.0181082643036023,1211
2024Q1,ACLS,Semiconductors,Technology,0.0422984818068618,3639789648.0,111.52,0.2477459103650602,0.0141678622668579,1464
2024Q2,ACLS,Semiconductors,Technology,0.0345046782649865,4640797077.0,142.19,0.2017100083169122,0.0109712356705816,1295
2024Q3,ACLS,Semiconductors,Technology,0.031888650163475,3417900300.0,104.85,0.2858575669872915,0.014210777300906,1527
2024Q4,ACLS,Semiconductors,Technology,0.033377546095326,2274268500.0,69.87,0.4470561468161007,0.0220409331615858,1826
2024Q1,ACLX,Biotechnology,Healthcare,0.1120463771089977,3669317022.0,69.55,0.1353311793454788,-0.0020129403306973,1458
2024Q2,ACLX,Biotechnology,Healthcare,0.2023434372046531,2953598097.0,55.19,0.1649391636730764,-0.0092408044935676,1608
2024Q3,ACLX,Biotechnology,Healthcare,0.0854114672464306,4483987860.0,83.51,0.1074647080414458,-0.005747814632978,1348
2024Q4,ACLX,Biotechnology,Healthcare,0.0760269187026501,4117794623.0,76.69,0.1104455276529978,-0.0114747685487025,1393
2024Q1,ACM,Engineering & Construction,Industrials,0.2357728324410273,13339468480.0,96.88,0.1668657711984897,0.000103220478943,722
2024Q2,ACM,Engineering & Construction,Industrials,0.2481758750478765,11987568840.0,87.27,0.193610059993968,0.0113441045032657,738
2024Q3,ACM,Engineering & Construction,Industrials,0.2480690690484045,14047301750.0,102.51,0.1587166813277976,0.012584138132865,679
2024Q4,ACM,Engineering & Construction,Industrials,0.2547267169576134,14340264540.0,106.27,0.1565261855260097,0.0118565917003858,685
2024Q1,ACMR,Semiconductors,Technology,0.0778295023796386,1788239741.0,29.14,0.4452434320782802,0.0096087851750171,1996
2024Q2,ACMR,Semiconductors,Technology,0.0906675861655397,1433833189.0,23.06,0.5810780544839579,0.0169124024284475,2156
2024Q3,ACMR,Semiconductors,Technology,0.0982144997004194,1268768330.0,20.3,0.7000222013501708,0.0241379310344827,2212
2024Q4,ACMR,Semiconductors,Technology,0.1017302708758482,943763635.0,15.1,0.9540512357562974,0.0324503311258278,2346
2024Q1,ACN,Information Technology Services,Technology,0.061561814262878,217793525874.0,339.24,0.1271060550637496,0.0078410564791887,45
2024Q2,ACN,Information Technology Services,Technology,0.0849913353607066,192143383764.0,298.11,0.1481140673949236,0.0103317567340914,55
2024Q3,ACN,Information Technology Services,Technology,0.0736702112871576,221164278388.0,348.83,0.1280568424014892,0.0076254909268124,48
2024Q4,ACN,Information Technology Services,Technology,0.1360724840470053,220510747753.0,348.57,0.1338447425938368,0.0104426657486301,44
2024Q1,ACON,Medical - Healthcare Information Services,Healthcare,0.1797968589275452,16220437582.0,2980.26,0.000154462540684,-0.0001476381255326,642
2024Q2,ACON,Medical - Healthcare Information Services,Healthcare,0.2515804573978226,21249717085.0,2586.06,7.727994652339142e-05,-5.800329458713255e-05,499
2024Q3,ACON,Medical - Healthcare Information Services,Healthcare,0.0,15656295444.0,1658.88,0.0001603051634341,-8.43942901234568e-05,637
2024Q4,ACON,Medical - Healthcare Information Services,Healthcare,0.0,2857198276.0,1302.48,7.891365406129123e-05,-0.0001612308826239,1675
2024Q1,ACSNX,Asset Management - Leveraged,Financial Services,0.0789783517593068,39273818178.0,9.32,1.1395864749895694,0.0354077253218884,350
2024Q1,ACT,Insurance - Specialty,Financial Services,0.1183577917861669,4951945240.0,30.32,0.978901323500978,0.0333113456464379,1272
2024Q2,ACT,Insurance - Specialty,Financial Services,0.1169199095595596,4869359880.0,29.99,1.02367538547066,0.0390130043347782,1260
2024Q3,ACT,Insurance - Specialty,Financial Services,0.1125816009165314,5710821690.0,35.73,0.9060936915426744,0.0324657150853624,1184
2024Q4,ACT,Insurance - Specialty,Financial Services,0.1139379694737324,5037065180.0,32.02,1.0162402609755734,0.033104309806371,1270
2024Q1,ACVA,Auto - Dealerships,Consumer Cyclical,0.1501839847145269,3025244783.0,18.77,0.1498898466666949,-0.0069259456579648,1611
2024Q2,ACVA,Auto - Dealerships,Consumer Cyclical,0.1398272933490429,2972735966.0,18.25,0.1525389755429176,-0.0054794520547945,1602
2024Q3,ACVA,Auto - Dealerships,Consumer Cyclical,0.1111806124214847,3341918344.0,20.33,0.1354085536251785,-0.0047565174618789,1545
2024Q4,ACVA,Auto - Dealerships,Consumer Cyclical,0.1249810750201443,3579620428.0,21.6,0.1223569130671808,-0.0074074074074074,1504
2024Q1,ADBE,Software - Infrastructure,Technology,0.1421167959375326,226565400000.0,504.6,0.0676338393184469,0.0027150217994451,41
2024Q2,ADBE,Software - Infrastructure,Technology,0.2029526443829773,247215299999.0,555.54,0.0595058977909733,0.0063001764049393,39
2024Q3,ADBE,Software - Infrastructure,Technology,0.2037546094535702,231447660000.0,517.78,0.0631260250655239,0.0073003978523697,45
2024Q4,ADBE,Software - Infrastructure,Technology,0.2003307972213033,193880480000.0,444.68,0.070960712969777,0.008478006656472,59
2024Q1,ADEA,Software - Application,Technology,0.5155632145570441,1176793800.0,10.75,0.3020793522511839,0.0007720930232558,2298
2024Q2,ADEA,Software - Application,Technology,0.5103558241334588,1205890350.0,11.06,0.298817574822669,0.0069710669077757,2269
