symbol,date,calendarYear,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ticker
OGE,2024-03-31,2024,Q1,0.5070993914807302,0.2250821850737917,0.003007623977058124,39.78217158176944,99.52825013713658,139.31042171890604,52.30663741086122,87.00378430804483,0.3890750670241287,0.1239946380697051,0.033847184986595176,0.03116621983914209,0.07920792079207921,0.0014398513701811425,0.004184194542550559,0.006441335967897774,0.9207920792079208,0.27297297297297296,0.1239946380697051,0.394565722248026,1.1466042786763548,0.48946848585079017,0.5341479517516742,1.2292358803986712,0.01628408867961546,2.905990596810114,2.2623199393479907,1.7206229353468618,0.904265873015873,0.05150288668156752,0.04619910202817774,0.41417165668662675,-0.7180638722554891,0.021457085828343315,4.618279569892473,0.1390750670241287,-1.7337349397590363,0.01628408867961546,0.09938929469524607,0.3657999118554429,0.2653452685421995,4.618279569892473,1.5485434053944616,1.5485434053944616,11.53441689008043,92.5233870967742,-47.83697011813759,82.9366265060241,82.9366265060241,-1.4803741935483872,11.53441689008043,0.012478681646895437,58.450170815031726,1.5485434053944616,OGE
OGE,2023-12-31,2023,Q4,0.6542571234735414,0.30418928086838537,0.00016960651289009497,47.596611964002115,117.30975686769814,164.90636883170023,78.54752131354594,86.35884751815429,0.4411505205576143,0.16975472031056996,0.07834833245103229,0.08505382036350803,-0.08558558558558559,0.003768362951206736,0.010683571238584981,0.008284889979761444,1.0855855855855856,0.46153846153846156,0.16975472031056996,0.3783764766588224,1.0727236457132725,0.49033562657448515,0.5175430154096222,1.4664634146341464,0.07921978635039362,2.8350695983686496,1.8908908908908908,1.1458031837916063,0.7671996124031008,0.049645203679369254,0.04430562830806758,1.9141288067898152,0.42336495257114326,0.000998502246630055,1.7385892116182573,0.6765484383271573,0.22117892540427753,0.07921978635039362,0.7680288461538461,1.2839919624916276,1.0026150627615062,1.7385892116182573,1.5507755563436474,1.5507755563436474,12.346001411681666,36.28879149377593,82.50564858490566,18.248510693792383,18.248510693792383,-0.45267461554091626,12.346001411681666,0.011977453230403464,51.0832067328442,1.5507755563436474,OGE
OGE,2023-09-30,2023,Q3,0.8172460496613996,0.4974266365688488,0.002528216704288939,42.27734292363021,69.83132530120481,112.10866822483504,55.55750273822563,56.55116548660941,0.5171356039771525,0.35022212819970383,0.29648825893801567,0.2558705309921726,0.1369960756332501,0.018982673111934207,0.05327372431563415,0.028455529104394237,0.8630039243667499,0.8465720326185443,0.35022212819970383,0.37283413899177603,1.046336467945471,0.48868294220981034,0.5113218106287264,5.7682926829268295,0.0825072088568963,2.806439535754399,2.128799819860392,1.619943222143364,1.2888198757763976,0.08421971600121154,0.07418858685416536,1.9570644033949076,0.4643035446829755,0.013979031452820768,0.3427035965274907,0.4146393061138143,0.2372448979591837,0.0825072088568963,0.9528439474963539,1.3110367892976589,1.026446713799424,0.3427035965274907,1.4702576695223202,1.4702576695223202,7.061560186164586,6.899544233154196,71.78493548387097,17.03060969387755,17.03060969387755,0.03942596704659541,7.061560186164586,0.012417617198564589,24.563102558589552,1.4702576695223202,OGE
OGE,2023-06-30,2023,Q2,0.8437721788502484,0.5477288857345636,0.00026614620298083747,54.01487603305785,96.84940341825218,150.86427945131004,98.01031925185424,52.8539601994558,0.4874380165289256,0.24198347107438017,0.17057851239669422,0.14611570247933883,0.1434108527131783,0.007013312600161845,0.02018679637368409,0.012755502117204245,0.8565891472868217,0.7049180327868853,0.24198347107438017,0.3774098345048633,1.0863191066657532,0.4977001869673438,0.5206869376764957,2.48135593220339,0.06497656135040256,2.8783539996802996,1.6662076562930321,0.9182706544270062,0.9292777944261312,0.054759555768760806,0.04799834980879996,1.54318522216675,0.07239141288067898,0.0014977533699450823,0.9377828054298643,0.5109090909090909,0.046910384988676807,0.06497656135040256,0.7392968189428366,1.0492192803801765,0.8188079470198676,0.9377828054298643,1.6425231211892852,1.6425231211892852,11.888880991735535,20.341552601809955,496.05331034482754,23.27005176318343,23.27005176318343,0.15459579977375565,11.888880991735535,0.011525457566921688,43.996955081001474,1.6425231211892852,OGE
OGE,2023-03-31,2023,Q1,0.8410468815655201,0.6445765051923885,0.18428477099465754,107.54127781765973,88.99395770392749,196.53523552158723,89.07552870090635,107.45970682068089,0.4059583632447954,0.13729361091170136,0.08094041636755205,0.06873653984206748,0.15077605321507762,0.0029944567367458153,0.008764302059496567,0.0068767753766495274,0.8492239467849224,0.5895424836601307,0.13729361091170136,0.39045995793687405,1.1428146453089245,0.47752896306835163,0.5333240781281704,1.5330661322645291,0.029594922007969406,2.926842105263158,0.8368879543406428,1.0103785103785103,1.0113046135044301,0.051464883437396095,0.043564263543466535,0.7382617382617382,-0.6903096903096904,1.5334665334665334,2.1827676240208875,0.2652548456568557,-0.9350473612990527,0.029594922007969406,0.1478,0.5167832167832168,0.3998917748917749,2.1827676240208875,1.7252933638443935,1.7252933638443935,13.53110552763819,49.213655352480416,-54.55522431259044,51.011718538565624,51.011718538565624,-2.050568973020017,13.53110552763819,0.011088221390929836,61.37867469879518,1.7252933638443935,OGE
OGE,2022-12-31,2022,Q4,0.7439795805127067,0.5834535567639552,0.04888469648207746,108.71049304677624,54.64218258132214,163.35267562809838,84.78698845750262,78.56568717059575,0.3306644191599944,0.1290911644893946,0.07585335018963338,0.07065599100997332,0.06851851851851852,0.004009661450652467,0.011397108805002946,0.008554805678380266,0.9314814814814815,0.5875952121871599,0.1290911644893946,0.36259137324926066,1.0306339783386957,0.44569899900779947,0.5075429591609015,2.2091346153846154,0.01655454425537528,2.8424117460461322,0.8278869636004187,1.0614836266429049,1.64707915658486,0.06682875542121172,0.05674906534233581,0.3761238761238761,-1.4225774225774226,0.44005994005994004,1.6481113320079523,0.10577328276443321,-3.7822045152722445,0.01655454425537528,0.07530753075307531,0.2091085809497362,0.16997742663656884,1.6481113320079523,1.7940612679566772,1.7940612679566772,11.12222222222222,39.35342942345925,-27.801650280898873,105.1515272244356,105.1515272244356,-0.48634898627105294,11.12222222222222,0.010469934616584428,57.54723384472339,1.7940612679566772,OGE
OGE,2022-09-30,2022,Q3,0.9130063965884861,0.7834754797441364,0.24317697228144988,28.491501416430594,27.160953800298063,55.652455216728654,33.49850968703428,22.153945529694376,0.3663833805476865,0.2501573811772112,0.2474032105760151,0.20679886685552407,0.16412213740458015,0.020850523643287846,0.059179859031233815,0.02963273676360925,0.8358778625954199,0.9889902485058194,0.2501573811772112,0.360845763249762,1.024185376179431,0.44414124597879556,0.5059741011035955,7.533175355450237,0.16703678459136784,2.838291260386876,3.1588366890380315,2.6866866866866865,3.31358024691358,0.12251745015618372,0.10082513487781657,3.794705294705295,2.5959040959040958,2.278721278721279,0.3120243531202435,0.5978124016367642,0.6840858233513228,0.16703678459136784,0.7597759775977597,3.1654166666666668,2.3593167701863353,0.3120243531202435,1.6437255387664107,1.6437255387664107,5.743855838841674,6.94377092846271,14.045203001731768,9.60812425957615,9.60812425957615,0.02733186429288513,5.743855838841674,0.011233966253165376,25.853817521561506,1.6437255387664107,OGE
OGE,2022-06-30,2022,Q2,0.8015902888867977,0.702079608544274,0.00230544838618613,39.148936170212764,37.22135314822057,76.37028931843334,52.28588189284318,24.084407425590157,0.36369292024387206,0.1948488241881299,0.10737837501555307,0.09095433619509767,0.15295480880648898,0.00569403333852625,0.017172120557212997,0.014618299945858148,0.847045191193511,0.5510855683269477,0.1948488241881299,0.38735005452562704,1.1681740233503253,0.4545582676660901,0.5387824089623715,3.693396226415094,-0.010215572715572715,3.015809626723672,2.2989130434782608,1.7213059575900371,2.417966903073286,0.07861607535874637,0.06260320922262035,-0.25374625374625376,-1.4060939060939062,0.024475524475524476,1.1231190150478796,-0.06320766455144955,5.541338582677166,-0.010215572715572715,-0.03564412012349144,-0.2201993931512787,-0.16240409207161124,1.1231190150478796,1.8134586201226246,1.8134586201226246,9.60521587657086,26.401203830369358,-27.423488454706927,-151.9628346456693,-151.9628346456693,-0.3588513141991951,9.60521587657086,0.010635111776190613,47.78761581920904,1.8134586201226246,OGE
OGE,2022-03-31,2022,Q1,0.48957402442657133,0.35269585939827225,0.038278224605302356,34.80570167995927,44.62368492042083,79.4293866003801,73.05368222282169,6.375704377558407,0.370948583064653,0.6336331240454777,0.5677922959443408,0.4742915323264891,0.16467423789599522,0.021346306592533757,0.06556877096675816,0.031776559893794465,0.8353257621040048,0.8960899839314408,0.6336331240454777,0.3993172236817987,1.226570014310179,0.5133737456762217,0.5508787086985839,9.311720698254364,0.011265181218322654,3.0716681915218054,2.5857832382623958,1.2319707544034564,2.016866158868335,0.0584165187997502,0.04500672084071607,0.2942057942057942,-0.8051948051948052,0.25674325674325676,0.29445438282647585,0.09994909214322077,-2.736842105263158,0.011265181218322654,0.08051948051948052,0.2676056338028169,0.19477513227513227,0.29445438282647585,1.9152546508081731,1.9152546508081731,13.853989479042932,7.302465116279071,-50.64612903225807,138.6104584040747,138.6104584040747,-0.6111010281517744,13.853989479042932,0.01008065010026756,73.6678961899503,1.9152546508081731,OGE
OGE,2021-12-31,2021,Q4,0.5631424375917768,0.4176762114537445,0.0,35.59435747462584,38.564476885644766,74.1588343602706,66.66666666666667,7.492167693603932,0.3636676414932049,0.13985893686564596,0.6943058661620506,0.5491140547049717,0.2091179385530228,0.025320472141134663,0.078692404407958,0.007059252570158377,0.7908820614469773,4.964329643296433,0.13985893686564596,0.3952992130981089,1.2285333925005546,0.5257287172471851,0.5512743926722421,2.0074074074074075,0.036281179138321996,3.107856913936346,2.528490648107873,1.35,2.3337539432176655,0.05840508796431191,0.046111498921182895,0.903096903096903,-0.2852147852147852,0.0,0.25720551378446116,0.3110270084293824,-0.31581858407079644,0.036281179138321996,0.3713288149517355,0.7599831862126945,0.565,0.25720551378446116,1.8942573281068955,1.8942573281068955,13.218090486839843,6.017916666666667,-134.56525394045536,42.498207964601775,42.498207964601775,0.22977500000000006,13.218090486839843,0.010684989840800158,23.035053646117476,1.8942573281068955,OGE
