quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2020Q3,ABEV,Beverages - Alcoholic,Consumer Defensive,0.05929544716096118,35564716000.0,1.8,2.753887187264791,0.07777777777777778,270
2020Q4,ABEV,Beverages - Alcoholic,Consumer Defensive,0.038278196053247455,48147264000.0,2.5,1.8765405735204392,0.176,243
2020Q2,ABG,Auto - Dealerships,Consumer Cyclical,0.6373023446019629,1484736000.0,77.33,0.4802874046295099,0.033363507047717574,1699
2020Q3,ABG,Auto - Dealerships,Consumer Cyclical,0.6335467059423328,1871040000.0,97.449997,0.4339298064148051,0.051410981572426316,1629
2020Q4,ABG,Auto - Dealerships,Consumer Cyclical,0.6433642521012976,2812782000.0,145.74,0.3235999611179726,0.03183751886921915,1586
2020Q2,ABM,Specialty Business Services,Industrials,0.3371249264561679,2428470000.0,32.99,0.6337557574575011,-0.06183692027887238,1343
2020Q3,ABM,Specialty Business Services,Industrials,0.2537687757271761,2456220000.0,33.66,0.6444911615051421,0.024955436720142603,1446
2020Q4,ABM,Specialty Business Services,Industrials,0.2359607085175673,2542848000.0,34.74,0.6445750522001392,0.02274035693724813,1652
2020Q4,ABNB,Travel Services,Consumer Cyclical,0.22206626526867132,88220928000.0,146.8,0.0571702915906851,-0.076566757493188,140
2020Q2,ABR,REIT - Mortgage,Real Estate,0.7650188008871189,1051201961.0,5.59,1.7864054532024027,0.07155635062611808,1936
2020Q3,ABR,REIT - Mortgage,Real Estate,0.7643256655710727,1386390002.0,7.13,1.4707883857199036,0.10098176718092566,1836
2020Q4,ABR,REIT - Mortgage,Real Estate,0.6109791872743273,1775838042.0,9.04,1.2303500886556171,0.08960176991150444,1901
2020Q2,ABT,Medical - Devices,Healthcare,0.286061081796113,162047019350.0,83.68,0.20638784442357225,0.003585086042065009,53
2020Q3,ABT,Medical - Devices,Healthcare,0.26886143417870023,192762990719.0,99.99,0.17710347172037572,0.0070007000700070005,45
2020Q4,ABT,Medical - Devices,Healthcare,0.2741633125654739,194544038004.0,100.93,0.1833861956737408,0.012087585455266024,55
2020Q2,ACA,Industrial - Infrastructure Operations,Industrials,0.10542145144910554,2029820000.0,41.52,0.9297528972128029,0.016618497109826588,1464
2020Q3,ACA,Industrial - Infrastructure Operations,Industrials,0.1022011385199241,2116320000.0,43.44,0.9005180275898509,0.014732965009208104,1546
2020Q4,ACA,Industrial - Infrastructure Operations,Industrials,0.09615747912494804,2636640000.0,54.17,0.7277244477262937,0.004061288536090087,1631
2020Q2,ACAD,Biotechnology,Healthcare,0.01841771660332601,7664512630.0,48.47,0.08738513602313787,-0.005570455952135342,745
2020Q3,ACAD,Biotechnology,Healthcare,0.1188227694102033,6569598750.0,41.25,0.10039628174695113,-0.013090909090909092,895
2020Q4,ACAD,Biotechnology,Healthcare,0.12011893444550073,8554188060.0,53.46,0.07364273818712912,-0.007856341189674522,898
2020Q1,ACB,Drug Manufacturers - Specialty & Generic,Healthcare,0.1256367568979171,1132967901.0,108.71,3.458240074146318,-0.12298776561493883,202
2020Q2,ACB,Drug Manufacturers - Specialty & Generic,Healthcare,0.1908423875460494,1407906360.0,124.2,1.5276626777934295,-1.321658615136876,1724
2020Q3,ACB,Drug Manufacturers - Specialty & Generic,Healthcare,0.18389371813879807,561589102.0,46.5,3.8355071179466127,-0.17784946236559138,2089
2020Q4,ACB,Drug Manufacturers - Specialty & Generic,Healthcare,0.17432504531497886,1385414364.0,83.1,1.585937793499172,-0.2150421179302046,2053
2020Q1,ACEVX,Asset Management,Financial Services,0.0,1105463671.0,4.91,2.043142682346842,-0.03665987780040733,204
2020Q2,ACEVX,Asset Management,Financial Services,0.0,1273841243.0,5.65,1.7755452336854858,-0.03185840707964602,1805
2020Q3,ACEVX,Asset Management,Financial Services,0.0,1305923170.0,5.79,1.8108161158393552,0.055267702936096716,1879
2020Q4,ACEVX,Asset Management,Financial Services,0.0,1566201510.0,6.94,1.5107529266152544,0.04610951008645533,1989
2020Q2,ACGL,Insurance - Diversified,Financial Services,0.07758124535432924,11541666395.0,27.24,1.0937254451263572,0.02643171806167401,580
2020Q3,ACGL,Insurance - Diversified,Financial Services,0.07190503519345838,11787906048.0,27.81,1.1114607423174452,0.03631787126932758,640
2020Q4,ACGL,Insurance - Diversified,Financial Services,0.06970055216801456,14457140772.0,34.3,0.9481159889589829,0.038483965014577265,663
2020Q2,ACGLO,Insurance - Diversified,Financial Services,0.07758124535432924,11541666395.0,18.59,1.6026401896310902,0.038730500268961805,580
2020Q3,ACGLO,Insurance - Diversified,Financial Services,0.07190503519345838,11787906048.0,19.88,1.5548150525074522,0.05080482897384306,640
2020Q4,ACGLO,Insurance - Diversified,Financial Services,0.06970055216801456,14457140772.0,20.64,1.5755997297138133,0.06395348837209303,663
2020Q2,ACHC,Medical - Care Facilities,Healthcare,0.5365538805378659,2208324320.0,25.12,1.1340947646489856,0.018710191082802547,1406
2020Q3,ACHC,Medical - Care Facilities,Healthcare,0.5152896950027058,2592824960.0,29.48,1.0057966606074877,0.014246947082767978,1413
2020Q4,ACHC,Medical - Care Facilities,Healthcare,0.5012121189741393,4435042920.0,50.259998,0.42969574303878155,-0.1772781606557167,1286
2020Q4,ACHR,Aerospace & Defense,Industrials,0.07655502392344497,2420773553.0,10.06,0.014829970342310992,-0.003598409542743539,1692
2020Q2,ACI,Grocery Stores,Consumer Defensive,0.561209490607131,7527021000.0,10.65,0.19753025193414003,0.09671361502347418,759
2020Q3,ACI,Grocery Stores,Consumer Defensive,0.5553389548765376,6491495000.0,9.36,0.3361142896026617,0.05555555555555556,901
2020Q4,ACI,Grocery Stores,Consumer Defensive,0.5486544095017725,8158877999.0,11.96,0.24523463104737858,0.017558528428093644,925
2020Q1,ACINX,Asset Management,Financial Services,0.009379104115733538,785551550.0,15.81,0.29016922220927716,-0.012017710309930424,238
2020Q2,ACINX,Asset Management,Financial Services,0.005568283767451861,982572237.0,20.12,0.42488786471288037,-0.00018389662027833002,1977
2020Q3,ACINX,Asset Management,Financial Services,0.009895494619890564,1158562228.0,22.31,0.36696911971867396,-0.0005782160466158674,1960
2020Q4,ACINX,Asset Management,Financial Services,0.41126355953655475,1228645923.0,25.45,0.3807613610608947,-0.009037328094302554,2112
2020Q2,ACIW,Software - Infrastructure,Technology,0.4388960015961361,3145900420.0,26.99,0.34828569724994907,0.00444609114486847,1199
2020Q3,ACIW,Software - Infrastructure,Technology,0.42206028921918226,3055485420.0,26.129999,0.3686701220390937,0.005357826458393665,1321
2020Q4,ACIW,Software - Infrastructure,Technology,0.3567870116150359,4515179130.0,38.43,0.2685041797899913,0.014832162373145979,1279
2020Q2,ACM,Engineering & Construction,Industrials,0.21311375950362005,6013551600.0,36.41,0.6423562903544211,0.015380390002746502,860
2020Q3,ACM,Engineering & Construction,Industrials,0.213971835383051,6335580160.0,40.54,0.5075460165407297,-0.03552047360631475,913
2020Q4,ACM,Engineering & Construction,Industrials,0.22362768901238123,7355990600.0,48.23,0.39821066865955945,0.0035247771096827704,975
2020Q2,ACMR,Semiconductors,Technology,0.12335179990831462,1135255184.0,20.79,0.07985834795787862,-7.215007215007215e-05,1892
2020Q3,ACMR,Semiconductors,Technology,0.11557924475505615,1282109002.0,23.03,0.10094211352123854,0.006947459834997829,1895
2020Q4,ACMR,Semiconductors,Technology,0.1465581658398216,1526245318.0,27.08,0.09362702216254376,0.005539143279172821,2002
2020Q2,ACN,Information Technology Services,Technology,0.10018509972197247,136537815962.0,199.34,0.12628880095464945,0.009681950436440252,65
2020Q3,ACN,Information Technology Services,Technology,0.09400337817564976,143339012217.0,210.58,0.12695945214551038,0.009640041789343716,70
2020Q4,ACN,Information Technology Services,Technology,0.08960074041417715,166127987515.0,244.35,0.11553756297893812,0.009699201964395335,66
2020Q2,ADBE,Software - Infrastructure,Technology,0.2174235059945378,208948800000.0,435.309998,0.051966694368507524,0.005237646758575023,29
2020Q3,ADBE,Software - Infrastructure,Technology,0.21085036138127955,234915970000.0,490.429993,0.04975650690542765,0.0040576637408063256,33
2020Q4,ADBE,Software - Infrastructure,Technology,0.19387250864766925,239557480000.0,500.119995,0.055368757980790974,0.009377749433913356,38
2020Q2,ADC,REIT - Retail,Real Estate,0.25068436536079663,3530069728.0,53.81,0.7698090384006744,0.008734435978442668,1131
2020Q3,ADC,REIT - Retail,Real Estate,0.3230512113211866,3525477171.0,52.62,0.8007395301212975,0.007411630558722919,1218
2020Q4,ADC,REIT - Retail,Real Estate,0.336911823246615,4183147962.0,55.59,0.8197637855221059,0.007735204173412484,1324
2020Q2,ADCT,Biotechnology,Healthcare,0.10806971929317734,2942657567.0,46.81,0.0667090871091199,-0.04293954283272804,1243
2020Q3,ADCT,Biotechnology,Healthcare,0.07686289849403481,2339462757.0,32.99,0.16074588017047026,-0.00879054258866323,1481
2020Q4,ADCT,Biotechnology,Healthcare,0.08346441058065923,2455778070.0,32.009998,0.13661862402719324,-0.02280537474572788,1678
2020Q3,ADI,Semiconductors,Technology,0.2720017363310229,43110214160.0,107.3,0.2976290303595303,0.009133271202236719,222
2020Q4,ADI,Semiconductors,Technology,0.2549545026287924,54542359190.0,136.39,0.2382121155215105,0.007698511621086591,219
2020Q1,ADKSX,Asset Management,Financial Services,0.0,7683872828.0,10.97,0.3878057038676911,0.05925250683682771,68
2020Q2,ADKSX,Asset Management,Financial Services,0.0,9011220158.0,13.11,0.3476166733656797,0.016781083142639208,682
2020Q3,ADKSX,Asset Management,Financial Services,0.0,9315800446.0,13.37,0.3706417952426873,0.03440538519072551,751
2020Q4,ADKSX,Asset Management,Financial Services,0.0,12705730948.0,18.27,0.2947337713244396,0.02353585112205802,717
2020Q2,ADM,Agricultural Farm Products,Consumer Defensive,0.23238086646670125,22383900000.0,34.77,0.9890818041861029,0.02415875754961173,365
2020Q3,ADM,Agricultural Farm Products,Consumer Defensive,0.20716597834579753,25848440000.0,40.84,0.8433415214540985,0.00979431929480901,369
