symbol,date,marketCap,ticker
AFTFX,2025-06-16,23395264501,AFTFX
AFTFX,2025-06-13,23395264501,AFTFX
AFTFX,2025-06-12,23433934360,AFTFX
AFTFX,2025-06-11,23414647486,AFTFX
AFTFX,2025-06-10,23395264500,AFTFX
AFTFX,2025-06-09,23395264500,AFTFX
AFTFX,2025-06-06,23402977270,AFTFX
AFTFX,2025-06-05,23461193632,AFTFX
AFTFX,2025-06-04,23441788178,AFTFX
AFTFX,2025-06-03,23402977270,AFTFX
AFTFX,2025-06-02,23522398200,AFTFX
AFTFX,2025-05-30,23522398205,AFTFX
AFTFX,2025-05-29,23541854283,AFTFX
AFTFX,2025-05-28,23541854283,AFTFX
AFTFX,2025-05-27,23522398197,AFTFX
AFTFX,2025-05-23,23522398199,AFTFX
AFTFX,2025-05-22,23483453831,AFTFX
AFTFX,2025-05-21,23522398205,AFTFX
AFTFX,2025-05-20,23600222516,AFTFX
AFTFX,2025-05-19,23600222516,AFTFX
AFTFX,2025-05-16,23522398201,AFTFX
AFTFX,2025-05-15,23503038203,AFTFX
AFTFX,2025-05-14,23483646309,AFTFX
AFTFX,2025-05-13,23522398201,AFTFX
AFTFX,2025-05-12,23522398201,AFTFX
AFTFX,2025-05-09,23561150092,AFTFX
AFTFX,2025-05-08,23522398203,AFTFX
AFTFX,2025-05-07,23541742280,AFTFX
AFTFX,2025-05-06,23503054126,AFTFX
AFTFX,2025-05-05,23483710048,AFTFX
AFTFX,2025-05-02,24087505357,AFTFX
AFTFX,2025-05-01,24107297831,AFTFX
AFTFX,2025-04-30,24087489041,AFTFX
AFTFX,2025-04-29,24008253879,AFTFX
AFTFX,2025-04-28,23949022825,AFTFX
AFTFX,2025-04-25,24047806030,AFTFX
AFTFX,2025-04-24,24008008309,AFTFX
AFTFX,2025-04-23,23928445730,AFTFX
AFTFX,2025-04-22,23828992506,AFTFX
AFTFX,2025-04-21,23888664440,AFTFX
AFTFX,2025-04-17,24227997856,AFTFX
AFTFX,2025-04-16,24047773151,AFTFX
AFTFX,2025-04-15,23988051860,AFTFX
AFTFX,2025-04-14,23948237666,AFTFX
AFTFX,2025-04-11,23907629178,AFTFX
AFTFX,2025-04-10,24349644703,AFTFX
AFTFX,2025-04-09,23886417385,AFTFX
AFTFX,2025-04-08,24228802794,AFTFX
AFTFX,2025-04-07,24286658315,AFTFX
AFTFX,2025-04-04,24501687595,AFTFX
AFTFX,2025-04-03,23970780372,AFTFX
AFTFX,2025-04-02,23854605346,AFTFX
AFTFX,2025-04-01,23854605346,AFTFX
AFTFX,2025-03-31,24287125631,AFTFX
AFTFX,2025-03-28,24464915902,AFTFX
AFTFX,2025-03-27,24424842754,AFTFX
AFTFX,2025-03-26,24504858619,AFTFX
AFTFX,2025-03-25,24624882416,AFTFX
AFTFX,2025-03-24,24745692612,AFTFX
AFTFX,2025-03-21,24564481140,AFTFX
AFTFX,2025-03-20,24504858614,AFTFX
AFTFX,2025-03-19,24465206739,AFTFX
AFTFX,2025-03-18,24445380801,AFTFX
AFTFX,2025-03-17,24445380801,AFTFX
AFTFX,2025-03-14,24504858613,AFTFX
AFTFX,2025-03-13,24524732789,AFTFX
AFTFX,2025-03-12,24564481140,AFTFX
AFTFX,2025-03-11,24663852018,AFTFX
AFTFX,2025-03-10,24683581246,AFTFX
AFTFX,2025-03-07,24465430042,AFTFX
AFTFX,2025-03-06,24484622331,AFTFX
AFTFX,2025-03-05,24583271091,AFTFX
AFTFX,2025-03-04,24642460347,AFTFX
AFTFX,2025-03-03,24642460347,AFTFX
AFTFX,2025-02-28,24210735092,AFTFX
AFTFX,2025-02-27,24210735092,AFTFX
AFTFX,2025-02-26,24210735092,AFTFX
AFTFX,2025-02-25,24191350996,AFTFX
AFTFX,2025-02-24,24113814615,AFTFX
AFTFX,2025-02-21,24191273097,AFTFX
AFTFX,2025-02-20,24171779770,AFTFX
AFTFX,2025-02-19,24152302107,AFTFX
AFTFX,2025-02-18,24132824444,AFTFX
AFTFX,2025-02-14,24210735098,AFTFX
AFTFX,2025-02-13,24152160739,AFTFX
AFTFX,2025-02-12,24113111166,AFTFX
AFTFX,2025-02-11,24249784671,AFTFX
AFTFX,2025-02-10,24387169607,AFTFX
AFTFX,2025-02-07,24088498170,AFTFX
AFTFX,2025-02-06,24127225659,AFTFX
AFTFX,2025-02-05,24088498172,AFTFX
AFTFX,2025-02-04,23991834857,AFTFX
AFTFX,2025-02-03,23972502194,AFTFX
AFTFX,2025-01-31,24069071959,AFTFX
AFTFX,2025-01-30,24107940053,AFTFX
AFTFX,2025-01-29,24069056279,AFTFX
AFTFX,2025-01-28,24088498166,AFTFX
AFTFX,2025-01-27,24069071959,AFTFX
AFTFX,2025-01-24,24088498172,AFTFX
AFTFX,2025-01-23,24068993315,AFTFX
AFTFX,2025-01-22,24127539492,AFTFX
AFTFX,2025-01-21,24108018829,AFTFX
AFTFX,2025-01-17,24088498174,AFTFX
AFTFX,2025-01-16,24029888690,AFTFX
AFTFX,2025-01-15,23990815700,AFTFX
AFTFX,2025-01-14,23932206215,AFTFX
AFTFX,2025-01-13,24029745730,AFTFX
AFTFX,2025-01-10,24147394255,AFTFX
AFTFX,2025-01-08,24088498166,AFTFX
AFTFX,2025-01-07,24186101481,AFTFX
AFTFX,2025-01-06,24225142807,AFTFX
AFTFX,2025-01-03,24400254528,AFTFX
AFTFX,2025-01-02,24419932150,AFTFX
AFTFX,2024-12-31,24400238657,AFTFX
AFTFX,2024-12-30,24400222764,AFTFX
AFTFX,2024-12-27,24380481540,AFTFX
AFTFX,2024-12-26,24419932151,AFTFX
AFTFX,2024-12-24,24419932151,AFTFX
AFTFX,2024-12-23,24419932151,AFTFX
AFTFX,2024-12-20,24419932151,AFTFX
AFTFX,2024-12-19,24360660471,AFTFX
AFTFX,2024-12-18,24617985128,AFTFX
AFTFX,2024-12-17,24677401021,AFTFX
AFTFX,2024-12-16,24736816914,AFTFX
AFTFX,2024-12-13,24419932150,AFTFX
AFTFX,2024-12-12,24498138498,AFTFX
AFTFX,2024-12-11,24536867182,AFTFX
AFTFX,2024-12-10,24556356354,AFTFX
AFTFX,2024-12-09,24575845526,AFTFX
AFTFX,2024-12-06,24439297686,AFTFX
AFTFX,2024-12-05,24400581973,AFTFX
AFTFX,2024-12-04,24419598749,AFTFX
AFTFX,2024-12-03,24400248829,AFTFX
AFTFX,2024-12-02,24380898910,AFTFX
AFTFX,2024-11-29,23968869166,AFTFX
AFTFX,2024-11-27,24006975483,AFTFX
AFTFX,2024-11-26,23968717354,AFTFX
AFTFX,2024-11-25,23949588290,AFTFX
AFTFX,2024-11-22,23949450774,AFTFX
AFTFX,2024-11-21,23987754523,AFTFX
AFTFX,2024-11-20,24006975480,AFTFX
AFTFX,2024-11-19,24026211841,AFTFX
AFTFX,2024-11-18,23987739124,AFTFX
AFTFX,2024-11-15,24006975483,AFTFX
AFTFX,2024-11-14,24006975483,AFTFX
AFTFX,2024-11-13,23987723698,AFTFX
AFTFX,2024-11-12,23968471914,AFTFX
AFTFX,2024-11-11,23987723698,AFTFX
AFTFX,2024-11-08,24006975482,AFTFX
AFTFX,2024-11-07,23852837598,AFTFX
AFTFX,2024-11-06,23978889209,AFTFX
AFTFX,2024-11-05,24212260393,AFTFX
AFTFX,2024-11-04,24212260393,AFTFX
AFTFX,2024-11-01,24122142269,AFTFX
AFTFX,2024-10-31,24180408315,AFTFX
AFTFX,2024-10-30,24180408315,AFTFX
AFTFX,2024-10-29,24160939387,AFTFX
AFTFX,2024-10-28,24219346170,AFTFX
AFTFX,2024-10-25,24180408311,AFTFX
AFTFX,2024-10-24,24102657802,AFTFX
AFTFX,2024-10-23,24160907990,AFTFX
AFTFX,2024-10-22,24336410953,AFTFX
AFTFX,2024-10-21,24414412271,AFTFX
AFTFX,2024-10-18,24238348588,AFTFX
AFTFX,2024-10-17,24180408313,AFTFX
AFTFX,2024-10-16,24199675570,AFTFX
AFTFX,2024-10-15,24161141055,AFTFX
AFTFX,2024-10-14,24141873797,AFTFX
AFTFX,2024-10-11,24180408309,AFTFX
AFTFX,2024-10-10,24199706320,AFTFX
AFTFX,2024-10-09,24199706320,AFTFX
AFTFX,2024-10-08,24238302343,AFTFX
AFTFX,2024-10-07,24257538803,AFTFX
AFTFX,2024-10-04,24155062268,AFTFX
AFTFX,2024-10-03,24250915690,AFTFX
AFTFX,2024-10-02,24250915690,AFTFX
AFTFX,2024-10-01,23765081924,AFTFX
AFTFX,2024-09-30,23689994777,AFTFX
AFTFX,2024-09-27,23746310139,AFTFX
AFTFX,2024-09-26,23727493728,AFTFX
AFTFX,2024-09-25,23746310143,AFTFX
AFTFX,2024-09-24,23746310143,AFTFX
AFTFX,2024-09-23,23746310143,AFTFX
AFTFX,2024-09-20,23746310143,AFTFX
AFTFX,2024-09-19,23746310143,AFTFX
AFTFX,2024-09-18,23765141476,AFTFX
AFTFX,2024-09-17,23765141476,AFTFX
AFTFX,2024-09-16,23746310143,AFTFX
AFTFX,2024-09-13,23727478811,AFTFX
AFTFX,2024-09-12,23746310141,AFTFX
AFTFX,2024-09-11,23746310141,AFTFX
AFTFX,2024-09-10,23746310141,AFTFX
AFTFX,2024-09-09,23708617585,AFTFX
