quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2022Q1,A,Medical - Diagnostics & Research,Healthcare,0.26435557277040767,39566670000.0,129.34,0.1323869150149982,0.007267666615122931,326
2022Q2,A,Medical - Diagnostics & Research,Healthcare,0.2778574844571975,35393460000.0,116.27,0.14733323112246233,0.007912617184140363,339
2022Q3,A,Medical - Diagnostics & Research,Healthcare,0.27775658145745896,35978800000.0,119.2,0.1433212467906851,0.009228187919463088,310
2022Q4,A,Medical - Diagnostics & Research,Healthcare,0.26775541207747816,44296400000.0,147.23,0.12172992798544657,0.008422196563200436,272
2022Q1,AA,Aluminum,Basic Materials,0.10808106079559669,16385460000.0,86.81,0.2866705398596635,0.029259301923741505,640
2022Q2,AA,Aluminum,Basic Materials,0.10987332102616335,8154119881.0,44.02,0.7072209934545236,0.0683780099954566,900
2022Q3,AA,Aluminum,Basic Materials,0.11595566006046355,5956231651.0,32.58,0.9215126494916673,-0.1279926335174954,1020
2022Q4,AA,Aluminum,Basic Materials,0.1264570344266739,8046044361.0,44.12,0.650172566951086,-0.04805077062556664,911
2022Q1,AAC,Shell Companies,Financial Services,0.0,1226250000.0,9.81,0.7734197667686034,0.014271151885830785,2404
2022Q2,AAC,Shell Companies,Financial Services,0.0,1228750000.0,9.83,0.7766804533062055,0.004832146490335707,2360
2022Q3,AAC,Shell Companies,Financial Services,0.0014918782239003558,993000000.0,9.93,0.7754330884189325,0.013091641490433032,2425
2022Q4,AAC,Shell Companies,Financial Services,0.0,1007000000.0,10.07,0.9457064776564051,-0.013902681231380339,2441
2022Q1,AAGPX,Asset Management,Financial Services,0.0,4354014549.0,18.22,2.070548149806918,-0.050493962678375415,1411
2022Q2,AAGPX,Asset Management,Financial Services,0.009941726404333037,3831114483.0,16.03,1.8946453135720436,-0.2096069868995633,1411
2022Q3,AAGPX,Asset Management,Financial Services,0.009941726404333037,4062614990.0,15.15,2.0046973185848094,-0.22178217821782176,1292
2022Q4,AAGPX,Asset Management,Financial Services,0.0011868624746376717,4105647022.0,17.31,1.835168193198476,0.05834777585210861,1353
2022Q1,AAISX,Asset Management,Financial Services,0.007675995132881271,1665749089.0,13.18,4.0082588489514075,0.5182094081942337,2155
2022Q2,AAISX,Asset Management,Financial Services,0.008025534309307086,1428679778.0,11.85,3.5096412023907417,0.6801687763713081,2222
2022Q3,AAISX,Asset Management,Financial Services,0.012445665560119636,1183032543.0,10.34,3.5027432655639092,0.47388781431334626,2279
2022Q4,AAISX,Asset Management,Financial Services,0.011899196157324812,1408963716.0,12.47,2.154308372298613,0.020048115477145148,2196
2022Q1,AAL,"Airlines, Airports & Air Services",Industrials,0.7747214433020282,11868814500.0,18.25,-0.7550182238903884,-0.13808219178082193,761
2022Q2,AAL,"Airlines, Airports & Air Services",Industrials,0.750481879846387,8822959940.0,12.68,-1.0212957158131435,0.057570977917981075,878
2022Q3,AAL,"Airlines, Airports & Air Services",Industrials,0.7617775910700354,7837365759.0,12.04,-0.9421511055185817,0.06146179401993356,874
