ticker,company_name,quarter_end_date,stock_price,market_cap,industry,sector,isETF,isFund,mkt_cap_rank
A,"Agilent Technologies, Inc.",2021-03-31,123.6,38650560000.0,Medical - Diagnostics & Research,Healthcare,False,False,347
A,"Agilent Technologies, Inc.",2021-06-30,143.91,44786430000.0,Medical - Diagnostics & Research,Healthcare,False,False,320
A,"Agilent Technologies, Inc.",2021-09-30,153.58,47731590000.0,Medical - Diagnostics & Research,Healthcare,False,False,293
A,"Agilent Technologies, Inc.",2021-12-31,155.84,48054650000.0,Medical - Diagnostics & Research,Healthcare,False,False,309
AA,Alcoa Corporation,2021-03-31,31.22,6075630000.0,Aluminum,Basic Materials,False,False,1202
AA,Alcoa Corporation,2021-06-30,35.4,6889080000.0,Aluminum,Basic Materials,False,False,1172
AA,Alcoa Corporation,2021-09-30,47.03,8956020000.0,Aluminum,Basic Materials,False,False,1007
AA,Alcoa Corporation,2021-12-31,57.38,10962720000.0,Aluminum,Basic Materials,False,False,904
AAGPX,American Beacon Large Cap Value Fund Investor Class,2021-03-31,16.34,3006292380.0,Asset Management,Financial Services,False,True,1746
AAGPX,American Beacon Large Cap Value Fund Investor Class,2021-06-30,17.28,3178012500.0,Asset Management,Financial Services,False,True,1773
AAGPX,American Beacon Large Cap Value Fund Investor Class,2021-09-30,17.07,4143025499.0,Asset Management,Financial Services,False,True,1545
AAGPX,American Beacon Large Cap Value Fund Investor Class,2021-12-31,18.35,3958926000.0,Asset Management,Financial Services,False,True,1582
AAISX,American Beacon International Equity Fund Advisor Class,2021-03-31,13.69,1702646067.0,Asset Management,Financial Services,False,True,2230
AAISX,American Beacon International Equity Fund Advisor Class,2021-06-30,14.05,1722177476.0,Asset Management,Financial Services,False,True,2321
AAISX,American Beacon International Equity Fund Advisor Class,2021-09-30,13.89,1665639398.0,Asset Management,Financial Services,False,True,2331
AAISX,American Beacon International Equity Fund Advisor Class,2021-12-31,14.06,1695984785.0,Asset Management,Financial Services,False,True,2319
AAL,American Airlines Group Inc.,2021-03-31,23.9,15394539700.0,"Airlines, Airports & Air Services",Industrials,False,False,701
AAL,American Airlines Group Inc.,2021-06-30,21.209999,13756042440.0,"Airlines, Airports & Air Services",Industrials,False,False,788
AAL,American Airlines Group Inc.,2021-09-30,20.52,13312678320.0,"Airlines, Airports & Air Services",Industrials,False,False,797
AAL,American Airlines Group Inc.,2021-12-31,17.959999,11652619033.0,"Airlines, Airports & Air Services",Industrials,False,False,868
AAMI,Acadian Asset Management,2021-03-31,20.23,1616134000.0,Asset Management,Financial Services,False,False,2276
AAMI,Acadian Asset Management,2021-06-30,23.27,1860342000.0,Asset Management,Financial Services,False,False,2245
AAMI,Acadian Asset Management,2021-09-30,25.96,2080125945.0,Asset Management,Financial Services,False,False,2141
AAMI,Acadian Asset Management,2021-12-31,25.44,2037934336.0,Asset Management,Financial Services,False,False,2136
AAON,"AAON, Inc.",2021-03-31,45.62,2447039802.0,Construction,Industrials,False,False,1916
AAON,"AAON, Inc.",2021-06-30,40.91,2187516270.0,Construction,Industrials,False,False,2099
AAON,"AAON, Inc.",2021-09-30,42.7,2285492837.0,Construction,Industrials,False,False,2040
AAON,"AAON, Inc.",2021-12-31,52.04,2856705185.0,Construction,Industrials,False,False,1870
AAP,"Advance Auto Parts, Inc.",2021-03-31,165.73,12053091120.0,Specialty Retail,Consumer Cyclical,False,False,822
AAP,"Advance Auto Parts, Inc.",2021-06-30,186.24,13281789300.0,Specialty Retail,Consumer Cyclical,False,False,804
AAP,"Advance Auto Parts, Inc.",2021-09-30,190.56,13129572060.0,Specialty Retail,Consumer Cyclical,False,False,805
AAP,"Advance Auto Parts, Inc.",2021-12-31,219.75,14937807360.0,Specialty Retail,Consumer Cyclical,False,False,751
AAPL,Apple Inc.,2021-03-31,119.34,2031277667650.0,Consumer Electronics,Technology,False,False,8
AAPL,Apple Inc.,2021-06-30,134.03,2258076092160.0,Consumer Electronics,Technology,False,False,8
AAPL,Apple Inc.,2021-09-30,138.68,2319428946000.0,Consumer Electronics,Technology,False,False,6
AAPL,Apple Inc.,2021-12-31,174.29,2890626871140.0,Consumer Electronics,Technology,False,False,5
AAT,"American Assets Trust, Inc.",2021-03-31,26.15,1945938930.0,REIT - Diversified,Real Estate,False,False,2090
AAT,"American Assets Trust, Inc.",2021-06-30,30.28,2237039890.0,REIT - Diversified,Real Estate,False,False,2077
AAT,"American Assets Trust, Inc.",2021-09-30,30.61,2245286178.0,REIT - Diversified,Real Estate,False,False,2056
AAT,"American Assets Trust, Inc.",2021-12-31,30.96,2860544856.0,REIT - Diversified,Real Estate,False,False,1869
AB,AllianceBernstein Holding L.P.,2021-03-31,28.19,4005358410.0,Asset Management,Financial Services,False,False,1514
AB,AllianceBernstein Holding L.P.,2021-06-30,33.4,4628529600.0,Asset Management,Financial Services,False,False,1465
AB,AllianceBernstein Holding L.P.,2021-09-30,36.22,4882777273.0,Asset Management,Financial Services,False,False,1417
AB,AllianceBernstein Holding L.P.,2021-12-31,36.25,4845025680.0,Asset Management,Financial Services,False,False,1427
ABAT,American Battery Technology Company Common Stock,2021-06-30,30.3,17079226270.0,Industrial Materials,Basic Materials,False,False,698
ABBV,AbbVie Inc.,2021-03-31,91.53,191441180000.0,Drug Manufacturers - General,Healthcare,False,False,60
ABBV,AbbVie Inc.,2021-06-30,96.42,199372800000.0,Drug Manufacturers - General,Healthcare,False,False,59
ABBV,AbbVie Inc.,2021-09-30,93.37,191253510000.0,Drug Manufacturers - General,Healthcare,False,False,68
ABBV,AbbVie Inc.,2021-12-31,118.62,239793400000.0,Drug Manufacturers - General,Healthcare,False,False,56
ABCB,Ameris Bancorp,2021-03-31,49.8,3649287470.0,Banks - Regional,Financial Services,False,False,1562
ABCB,Ameris Bancorp,2021-06-30,48.16,3515747200.0,Banks - Regional,Financial Services,False,False,1687
ABCB,Ameris Bancorp,2021-09-30,49.49,3600399056.0,Banks - Regional,Financial Services,False,False,1642
ABCB,Ameris Bancorp,2021-12-31,47.53,3445109280.0,Banks - Regional,Financial Services,False,False,1693
ABCL,AbCellera Biologics Inc.,2021-03-31,33.959999,9243779793.0,Biotechnology,Healthcare,False,False,966
ABCL,AbCellera Biologics Inc.,2021-06-30,22.0,5879500000.0,Biotechnology,Healthcare,False,False,1277
ABCL,AbCellera Biologics Inc.,2021-09-30,20.04,5589832550.0,Biotechnology,Healthcare,False,False,1329
ABCL,AbCellera Biologics Inc.,2021-12-31,14.3,4454192843.0,Biotechnology,Healthcare,False,False,1482
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2021-03-31,17.07,2033419681.0,Asset Management - Income,Financial Services,False,True,2052
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2021-06-30,18.25,2131123242.0,Asset Management - Income,Financial Services,False,True,2122
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2021-09-30,17.8,2027151579.0,Asset Management - Income,Financial Services,False,True,2159
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2021-12-31,20.06,2288989342.0,Asset Management - Income,Financial Services,False,True,2039
ABEV,Ambev S.A.,2021-03-31,2.25,43127271463.0,Beverages - Alcoholic,Consumer Defensive,False,False,301
ABEV,Ambev S.A.,2021-06-30,2.83,54128081132.0,Beverages - Alcoholic,Consumer Defensive,False,False,257
ABEV,Ambev S.A.,2021-09-30,2.27,43442571200.0,Beverages - Alcoholic,Consumer Defensive,False,False,331
ABEV,Ambev S.A.,2021-12-31,2.4,44066400000.0,Beverages - Alcoholic,Consumer Defensive,False,False,342
ABG,"Asbury Automotive Group, Inc.",2021-03-31,196.5,3792450000.0,Auto - Dealerships,Consumer Cyclical,False,False,1541
ABG,"Asbury Automotive Group, Inc.",2021-06-30,171.369995,3307441000.0,Auto - Dealerships,Consumer Cyclical,False,False,1740
ABG,"Asbury Automotive Group, Inc.",2021-09-30,196.74,4269258000.0,Auto - Dealerships,Consumer Cyclical,False,False,1519
ABG,"Asbury Automotive Group, Inc.",2021-12-31,172.729996,3938244000.0,Auto - Dealerships,Consumer Cyclical,False,False,1590
ABM,ABM Industries Incorporated,2021-03-31,47.24,3432973000.0,Specialty Business Services,Industrials,False,False,1623
ABM,ABM Industries Incorporated,2021-06-30,41.25,2993625000.0,Specialty Business Services,Industrials,False,False,1823
ABM,ABM Industries Incorporated,2021-09-30,41.86,3047177000.0,Specialty Business Services,Industrials,False,False,1789
ABM,ABM Industries Incorporated,2021-12-31,38.15,2773715000.0,Specialty Business Services,Industrials,False,False,1901
ABNB,"Airbnb, Inc.",2021-03-31,187.94,114970227660.0,Travel Services,Consumer Cyclical,False,False,125
ABNB,"Airbnb, Inc.",2021-06-30,153.14,95101777679.0,Travel Services,Consumer Cyclical,False,False,154
ABNB,"Airbnb, Inc.",2021-09-30,167.75,105595605500.0,Travel Services,Consumer Cyclical,False,False,146
ABNB,"Airbnb, Inc.",2021-12-31,166.49,105721150000.0,Travel Services,Consumer Cyclical,False,False,148
ABR,"Arbor Realty Trust, Inc.",2021-03-31,10.33,2150668932.0,REIT - Mortgage,Real Estate,False,False,2008
ABR,"Arbor Realty Trust, Inc.",2021-06-30,11.81,2541565026.0,REIT - Mortgage,Real Estate,False,False,1960
ABR,"Arbor Realty Trust, Inc.",2021-09-30,12.51,2740570934.0,REIT - Mortgage,Real Estate,False,False,1887
ABR,"Arbor Realty Trust, Inc.",2021-12-31,12.6,2810658760.0,REIT - Mortgage,Real Estate,False,False,1893
ABSI,Absci Corporation,2021-09-30,11.63,1039832368.0,Biotechnology,Healthcare,False,False,2750
ABT,Abbott Laboratories,2021-03-31,110.92,212454431104.0,Medical - Devices,Healthcare,False,False,49
ABT,Abbott Laboratories,2021-06-30,107.69,204997508316.0,Medical - Devices,Healthcare,False,False,56
ABT,Abbott Laboratories,2021-09-30,110.15,208391029459.0,Medical - Devices,Healthcare,False,False,61
ABT,Abbott Laboratories,2021-12-31,131.74,246427617753.0,Medical - Devices,Healthcare,False,False,54
ACA,"Arcosa, Inc.",2021-03-31,64.24,3130829000.0,Industrial - Infrastructure Operations,Industrials,False,False,1714
ACA,"Arcosa, Inc.",2021-06-30,58.02,2831268000.0,Industrial - Infrastructure Operations,Industrials,False,False,1874
ACA,"Arcosa, Inc.",2021-09-30,49.6,2418194000.0,Industrial - Infrastructure Operations,Industrials,False,False,1995
ACA,"Arcosa, Inc.",2021-12-31,52.15,2540140000.0,Industrial - Infrastructure Operations,Industrials,False,False,1958
ACAD,ACADIA Pharmaceuticals Inc.,2021-03-31,25.8,4138861800.0,Biotechnology,Healthcare,False,False,1490
ACAD,ACADIA Pharmaceuticals Inc.,2021-06-30,24.39,3918570570.0,Biotechnology,Healthcare,False,False,1601
ACAD,ACADIA Pharmaceuticals Inc.,2021-09-30,16.61,2671984260.0,Biotechnology,Healthcare,False,False,1903
ACAD,ACADIA Pharmaceuticals Inc.,2021-12-31,23.34,3763131540.0,Biotechnology,Healthcare,False,False,1622
ACB,Aurora Cannabis Inc.,2021-03-31,93.1,1805043840.0,Drug Manufacturers - Specialty & Generic,Healthcare,False,False,2172
ACB,Aurora Cannabis Inc.,2021-06-30,90.4,1804211245.0,Drug Manufacturers - Specialty & Generic,Healthcare,False,False,2276
ACB,Aurora Cannabis Inc.,2021-09-30,69.2,1370671526.0,Drug Manufacturers - Specialty & Generic,Healthcare,False,False,2508
ACB,Aurora Cannabis Inc.,2021-12-31,54.1,1072321888.0,Drug Manufacturers - Specialty & Generic,Healthcare,False,False,2706
ACEL,"Accel Entertainment, Inc.",2021-03-31,10.93,1023233810.0,"Gambling, Resorts & Casinos",Consumer Cyclical,False,False,2632
ACEL,"Accel Entertainment, Inc.",2021-06-30,11.87,1115827480.0,"Gambling, Resorts & Casinos",Consumer Cyclical,False,False,2687
ACEL,"Accel Entertainment, Inc.",2021-09-30,12.14,1141208560.0,"Gambling, Resorts & Casinos",Consumer Cyclical,False,False,2686
ACEL,"Accel Entertainment, Inc.",2021-12-31,13.02,1210768860.0,"Gambling, Resorts & Casinos",Consumer Cyclical,False,False,2618
ACEVX,American Century International Value Fund Investor Class,2021-03-31,7.36,1661157682.0,Asset Management,Financial Services,False,True,2253
ACEVX,American Century International Value Fund Investor Class,2021-06-30,7.57,1709145875.0,Asset Management,Financial Services,False,True,2329
ACEVX,American Century International Value Fund Investor Class,2021-09-30,7.39,1670521109.0,Asset Management,Financial Services,False,True,2328
