ticker,company_name,quarter_end_date,stock_price,market_cap,industry,sector,isETF,isFund,mkt_cap_rank
A,"Agilent Technologies, Inc.",2020-03-31,69.24,22130580000.0,Medical - Diagnostics & Research,Healthcare,False,False,333
A,"Agilent Technologies, Inc.",2020-06-30,85.62,27306330000.0,Medical - Diagnostics & Research,Healthcare,False,False,340
A,"Agilent Technologies, Inc.",2020-09-30,97.79,31089520000.0,Medical - Diagnostics & Research,Healthcare,False,False,325
A,"Agilent Technologies, Inc.",2020-12-31,115.0,36257940000.0,Medical - Diagnostics & Research,Healthcare,False,False,344
AA,Alcoa Corporation,2020-03-31,5.92,1144830184.0,Aluminum,Basic Materials,False,False,1820
AA,Alcoa Corporation,2020-06-30,10.8,2089775711.0,Aluminum,Basic Materials,False,False,1570
AA,Alcoa Corporation,2020-09-30,11.18,2162549212.0,Aluminum,Basic Materials,False,False,1614
AA,Alcoa Corporation,2020-12-31,22.15,4287300000.0,Aluminum,Basic Materials,False,False,1354
AAGPX,American Beacon Large Cap Value Fund Investor Class,2020-03-31,9.77,1442924999.0,Asset Management,Financial Services,False,True,1639
AAGPX,American Beacon Large Cap Value Fund Investor Class,2020-06-30,11.47,1694550082.0,Asset Management,Financial Services,False,True,1729
AAGPX,American Beacon Large Cap Value Fund Investor Class,2020-09-30,11.94,1774300417.0,Asset Management,Financial Services,False,True,1760
AAGPX,American Beacon Large Cap Value Fund Investor Class,2020-12-31,14.38,1839831000.0,Asset Management,Financial Services,False,True,1959
AAISX,American Beacon International Equity Fund Advisor Class,2020-03-31,8.95,1064135407.0,Asset Management,Financial Services,False,True,1888
AAISX,American Beacon International Equity Fund Advisor Class,2020-06-30,10.33,1225513638.0,Asset Management,Financial Services,False,True,1974
AAISX,American Beacon International Equity Fund Advisor Class,2020-09-30,10.67,1271680938.0,Asset Management,Financial Services,False,True,2017
AAISX,American Beacon International Equity Fund Advisor Class,2020-12-31,12.87,1392273633.0,Asset Management,Financial Services,False,True,2141
AAL,American Airlines Group Inc.,2020-03-31,12.19,5227157330.0,"Airlines, Airports & Air Services",Industrials,False,False,882
AAL,American Airlines Group Inc.,2020-06-30,13.07,6653270430.0,"Airlines, Airports & Air Services",Industrials,False,False,894
AAL,American Airlines Group Inc.,2020-09-30,12.29,7029683359.0,"Airlines, Airports & Air Services",Industrials,False,False,923
AAL,American Airlines Group Inc.,2020-12-31,15.77,10007783930.0,"Airlines, Airports & Air Services",Industrials,False,False,856
AAON,"AAON, Inc.",2020-03-31,31.29,1678131143.0,Construction,Industrials,False,False,1526
AAON,"AAON, Inc.",2020-06-30,35.28,1891309340.0,Construction,Industrials,False,False,1639
AAON,"AAON, Inc.",2020-09-30,39.15,2098514100.0,Construction,Industrials,False,False,1637
AAON,"AAON, Inc.",2020-12-31,43.42,2322875670.0,Construction,Industrials,False,False,1784
AAP,"Advance Auto Parts, Inc.",2020-03-31,83.77,6455970920.0,Specialty Retail,Consumer Cyclical,False,False,792
AAP,"Advance Auto Parts, Inc.",2020-06-30,128.08,9845859100.0,Specialty Retail,Consumer Cyclical,False,False,713
AAP,"Advance Auto Parts, Inc.",2020-09-30,138.24,10586127500.0,Specialty Retail,Consumer Cyclical,False,False,741
AAP,"Advance Auto Parts, Inc.",2020-12-31,142.07,10644683310.0,Specialty Retail,Consumer Cyclical,False,False,829
AAPL,Apple Inc.,2020-03-31,61.63,1096601062440.0,Consumer Electronics,Technology,False,False,9
AAPL,Apple Inc.,2020-06-30,88.65,1555655126400.0,Consumer Electronics,Technology,False,False,8
AAPL,Apple Inc.,2020-09-30,112.78,1961256131390.0,Consumer Electronics,Technology,False,False,8
AAPL,Apple Inc.,2020-12-31,129.44,2223018730440.0,Consumer Electronics,Technology,False,False,7
AAT,"American Assets Trust, Inc.",2020-03-31,19.52,1493103475.0,REIT - Diversified,Real Estate,False,False,1613
AAT,"American Assets Trust, Inc.",2020-06-30,21.87,1665532844.0,REIT - Diversified,Real Estate,False,False,1740
AAT,"American Assets Trust, Inc.",2020-09-30,19.1,1444220914.0,REIT - Diversified,Real Estate,False,False,1911
AAT,"American Assets Trust, Inc.",2020-12-31,23.1,1732347594.0,REIT - Diversified,Real Estate,False,False,1998
AB,AllianceBernstein Holding L.P.,2020-03-31,11.87,1801222280.0,Asset Management,Financial Services,False,False,1483
AB,AllianceBernstein Holding L.P.,2020-06-30,17.89,2624574000.0,Asset Management,Financial Services,False,False,1403
AB,AllianceBernstein Holding L.P.,2020-09-30,18.14,2594333331.0,Asset Management,Financial Services,False,False,1489
AB,AllianceBernstein Holding L.P.,2020-12-31,23.19,3381930420.0,Asset Management,Financial Services,False,False,1523
ABBV,AbbVie Inc.,2020-03-31,61.17,125216608629.0,Drug Manufacturers - General,Healthcare,False,False,61
ABBV,AbbVie Inc.,2020-06-30,80.0,173680420000.0,Drug Manufacturers - General,Healthcare,False,False,47
ABBV,AbbVie Inc.,2020-09-30,72.24,154946710000.0,Drug Manufacturers - General,Healthcare,False,False,64
ABBV,AbbVie Inc.,2020-12-31,89.57,189548350000.0,Drug Manufacturers - General,Healthcare,False,False,58
ABCB,Ameris Bancorp,2020-03-31,22.08,1643996645.0,Banks - Regional,Financial Services,False,False,1535
ABCB,Ameris Bancorp,2020-06-30,22.07,1633151434.0,Banks - Regional,Financial Services,False,False,1760
ABCB,Ameris Bancorp,2020-09-30,21.46,1577567553.0,Banks - Regional,Financial Services,False,False,1849
ABCB,Ameris Bancorp,2020-12-31,36.0,2641753440.0,Banks - Regional,Financial Services,False,False,1690
ABCL,AbCellera Biologics Inc.,2020-12-31,40.24,10852615810.0,Biotechnology,Healthcare,False,False,820
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2020-03-31,11.64,1357323223.0,Asset Management - Income,Financial Services,False,True,1688
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2020-06-30,13.49,1564328572.0,Asset Management - Income,Financial Services,False,True,1794
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2020-09-30,14.82,1719065779.0,Asset Management - Income,Financial Services,False,True,1784
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2020-12-31,15.97,1654940400.0,Asset Management - Income,Financial Services,False,True,2029
ABEV,Ambev S.A.,2020-03-31,1.83,36183043227.0,Beverages - Alcoholic,Consumer Defensive,False,False,234
ABEV,Ambev S.A.,2020-06-30,2.1,41522427693.0,Beverages - Alcoholic,Consumer Defensive,False,False,242
ABEV,Ambev S.A.,2020-09-30,1.8,35564716000.0,Beverages - Alcoholic,Consumer Defensive,False,False,292
ABEV,Ambev S.A.,2020-12-31,2.5,48147264000.0,Beverages - Alcoholic,Consumer Defensive,False,False,255
ABG,"Asbury Automotive Group, Inc.",2020-03-31,55.23,1060415999.0,Auto - Dealerships,Consumer Cyclical,False,False,1890
ABG,"Asbury Automotive Group, Inc.",2020-06-30,77.33,1484736000.0,Auto - Dealerships,Consumer Cyclical,False,False,1834
ABG,"Asbury Automotive Group, Inc.",2020-09-30,97.449997,1871040000.0,Auto - Dealerships,Consumer Cyclical,False,False,1717
ABG,"Asbury Automotive Group, Inc.",2020-12-31,145.74,2812782000.0,Auto - Dealerships,Consumer Cyclical,False,False,1648
ABM,ABM Industries Incorporated,2020-03-31,21.97,1625584382.0,Specialty Business Services,Industrials,False,False,1551
ABM,ABM Industries Incorporated,2020-06-30,32.99,2428470000.0,Specialty Business Services,Industrials,False,False,1459
ABM,ABM Industries Incorporated,2020-09-30,33.66,2456220000.0,Specialty Business Services,Industrials,False,False,1524
ABM,ABM Industries Incorporated,2020-12-31,34.74,2542848000.0,Specialty Business Services,Industrials,False,False,1715
ABNB,"Airbnb, Inc.",2020-12-31,146.8,88220928000.0,Travel Services,Consumer Cyclical,False,False,146
ABR,"Arbor Realty Trust, Inc.",2020-06-30,5.59,1051201961.0,REIT - Mortgage,Real Estate,False,False,2085
ABR,"Arbor Realty Trust, Inc.",2020-09-30,7.13,1386390002.0,REIT - Mortgage,Real Estate,False,False,1943
ABR,"Arbor Realty Trust, Inc.",2020-12-31,9.04,1775838042.0,REIT - Mortgage,Real Estate,False,False,1979
ABT,Abbott Laboratories,2020-03-31,71.92,139712522221.0,Medical - Devices,Healthcare,False,False,50
ABT,Abbott Laboratories,2020-06-30,83.68,162047019350.0,Medical - Devices,Healthcare,False,False,57
ABT,Abbott Laboratories,2020-09-30,99.99,192762990719.0,Medical - Devices,Healthcare,False,False,46
ABT,Abbott Laboratories,2020-12-31,100.93,194544038004.0,Medical - Devices,Healthcare,False,False,56
ACA,"Arcosa, Inc.",2020-03-31,39.05,1903546000.0,Industrial - Infrastructure Operations,Industrials,False,False,1431
ACA,"Arcosa, Inc.",2020-06-30,41.52,2029820000.0,Industrial - Infrastructure Operations,Industrials,False,False,1589
ACA,"Arcosa, Inc.",2020-09-30,43.44,2116320000.0,Industrial - Infrastructure Operations,Industrials,False,False,1627
ACA,"Arcosa, Inc.",2020-12-31,54.17,2636640000.0,Industrial - Infrastructure Operations,Industrials,False,False,1693
