ticker,company_name,quarter_end_date,stock_price,market_cap,industry,sector,isETF,isFund,mkt_cap_rank
A,"Agilent Technologies, Inc.",2019-03-31,78.15,25854520000.0,Medical - Diagnostics & Research,Healthcare,False,False,353
A,"Agilent Technologies, Inc.",2019-06-30,72.77,23643360000.0,Medical - Diagnostics & Research,Healthcare,False,False,395
A,"Agilent Technologies, Inc.",2019-09-30,73.74,23678670000.0,Medical - Diagnostics & Research,Healthcare,False,False,388
A,"Agilent Technologies, Inc.",2019-12-31,82.27,26446100000.0,Medical - Diagnostics & Research,Healthcare,False,False,377
AA,Alcoa Corporation,2019-03-31,28.31,5457566813.0,Aluminum,Basic Materials,False,False,982
AA,Alcoa Corporation,2019-06-30,22.03,4253177349.0,Aluminum,Basic Materials,False,False,1141
AA,Alcoa Corporation,2019-09-30,19.29,3727997743.0,Aluminum,Basic Materials,False,False,1209
AA,Alcoa Corporation,2019-12-31,20.67,3995477402.0,Aluminum,Basic Materials,False,False,1219
AAGPX,American Beacon Large Cap Value Fund Investor Class,2019-03-31,12.45,2983882500.0,Asset Management,Financial Services,False,True,1317
AAGPX,American Beacon Large Cap Value Fund Investor Class,2019-06-30,12.88,3087985500.0,Asset Management,Financial Services,False,True,1329
AAGPX,American Beacon Large Cap Value Fund Investor Class,2019-09-30,12.92,2802105000.0,Asset Management,Financial Services,False,True,1374
AAGPX,American Beacon Large Cap Value Fund Investor Class,2019-12-31,13.99,2742974890.0,Asset Management,Financial Services,False,True,1449
AAISX,American Beacon International Equity Fund Advisor Class,2019-03-31,11.94,1416276610.0,Asset Management,Financial Services,False,True,1840
AAISX,American Beacon International Equity Fund Advisor Class,2019-06-30,12.07,1423724045.0,Asset Management,Financial Services,False,True,1880
AAISX,American Beacon International Equity Fund Advisor Class,2019-09-30,11.75,1386092572.0,Asset Management,Financial Services,False,True,1899
AAISX,American Beacon International Equity Fund Advisor Class,2019-12-31,12.8,1519137936.0,Asset Management,Financial Services,False,True,1883
AAL,American Airlines Group Inc.,2019-03-31,31.922016,14396008800.0,"Airlines, Airports & Air Services",Industrials,False,False,550
AAL,American Airlines Group Inc.,2019-06-30,32.538647,14530165200.0,"Airlines, Airports & Air Services",Industrials,False,False,554
