quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2021Q1,A,Medical - Diagnostics & Research,Healthcare,0.2765143684101716,38650560000.0,123.6,0.12701736573809674,0.007605177993527508,318
2021Q2,A,Medical - Diagnostics & Research,Healthcare,0.281977303327563,44786430000.0,143.91,0.10994627490134551,0.004933639079980543,310
2021Q3,A,Medical - Diagnostics & Research,Healthcare,0.2724239824611572,47731590000.0,153.58,0.10628618533164684,0.0056648001041802315,269
2021Q4,A,Medical - Diagnostics & Research,Healthcare,0.27192900513778606,48054650000.0,155.84,0.11412653072288749,0.00936858316221766,295
2021Q1,AA,Aluminum,Basic Materials,0.19817828678588173,6075630000.0,31.22,0.5593326582766768,0.03010890454836643,1142
2021Q2,AA,Aluminum,Basic Materials,0.15355312370134366,6889080000.0,35.4,0.56935254841536,0.04689265536723164,1153
2021Q3,AA,Aluminum,Basic Materials,0.12150454321335494,8956020000.0,47.03,0.4409519012213162,0.03827344248352116,969
2021Q4,AA,Aluminum,Basic Materials,0.124375124975005,10962720000.0,57.38,0.44169157014782096,-0.03677239456256535,889
2021Q1,AAC,Shell Companies,Financial Services,0.0,1237500000.0,9.9,0.7563025341414141,0.01616161616161616,2384
2021Q2,AAC,Shell Companies,Financial Services,0.0,1218750000.0,9.75,0.7563684250256411,-0.011282051282051283,2578
2021Q3,AAC,Shell Companies,Financial Services,0.0,1217500000.0,9.74,0.7684793708418891,0.011293634496919917,2530
2021Q4,AAC,Shell Companies,Financial Services,0.0,1217500000.0,9.74,0.7649633125256673,-0.00351129363449692,2590
2021Q1,AACQU,,,0.42588181732247754,1403892051300.0,10.66,9.989198506918467e-06,-0.03564727954971857,6
2021Q2,AACQU,,,0.009971865847752727,1121349639200.0,11.05,0.0001767574056084275,0.04072398190045249,8
2021Q1,AAISX,Asset Management,Financial Services,0.007897859570779282,1702646067.0,13.69,4.501058279426766,0.20598977355734113,2147
2021Q2,AAISX,Asset Management,Financial Services,0.007772078126588887,1722177476.0,14.05,4.726698014136015,-0.0491103202846975,2317
2021Q3,AAISX,Asset Management,Financial Services,0.0073347540972177735,1665639398.0,13.89,4.947175649087051,0.1101511879049676,2277
