ticker,company_name,quarter_end_date,stock_price,market_cap,industry,sector,isETF,isFund,mkt_cap_rank
A,"Agilent Technologies, Inc.",2022-03-31,129.34,39566670000.0,Medical - Diagnostics & Research,Healthcare,False,False,361
A,"Agilent Technologies, Inc.",2022-06-30,116.27,35393460000.0,Medical - Diagnostics & Research,Healthcare,False,False,339
A,"Agilent Technologies, Inc.",2022-09-30,119.2,35978800000.0,Medical - Diagnostics & Research,Healthcare,False,False,321
A,"Agilent Technologies, Inc.",2022-12-31,147.23,44296400000.0,Medical - Diagnostics & Research,Healthcare,False,False,276
AA,Alcoa Corporation,2022-03-31,86.81,16385460000.0,Aluminum,Basic Materials,False,False,690
AA,Alcoa Corporation,2022-06-30,44.02,8154119881.0,Aluminum,Basic Materials,False,False,897
AA,Alcoa Corporation,2022-09-30,32.58,5956231651.0,Aluminum,Basic Materials,False,False,1039
AA,Alcoa Corporation,2022-12-31,44.12,8046044361.0,Aluminum,Basic Materials,False,False,917
AAGPX,American Beacon Large Cap Value Fund Investor Class,2022-03-31,18.22,4354014549.0,Asset Management,Financial Services,False,True,1472
AAGPX,American Beacon Large Cap Value Fund Investor Class,2022-06-30,16.03,3831114483.0,Asset Management,Financial Services,False,True,1389
AAGPX,American Beacon Large Cap Value Fund Investor Class,2022-09-30,15.15,4062614990.0,Asset Management,Financial Services,False,True,1299
AAGPX,American Beacon Large Cap Value Fund Investor Class,2022-12-31,17.31,4105647022.0,Asset Management,Financial Services,False,True,1340
AAISX,American Beacon International Equity Fund Advisor Class,2022-03-31,13.18,1665749089.0,Asset Management,Financial Services,False,True,2264
AAISX,American Beacon International Equity Fund Advisor Class,2022-06-30,11.85,1428679778.0,Asset Management,Financial Services,False,True,2204
AAISX,American Beacon International Equity Fund Advisor Class,2022-09-30,10.34,1183032543.0,Asset Management,Financial Services,False,True,2315
AAISX,American Beacon International Equity Fund Advisor Class,2022-12-31,12.47,1408963716.0,Asset Management,Financial Services,False,True,2189
AAL,American Airlines Group Inc.,2022-03-31,18.25,11868814500.0,"Airlines, Airports & Air Services",Industrials,False,False,823
AAL,American Airlines Group Inc.,2022-06-30,12.68,8822959940.0,"Airlines, Airports & Air Services",Industrials,False,False,872
AAL,American Airlines Group Inc.,2022-09-30,12.04,7837365759.0,"Airlines, Airports & Air Services",Industrials,False,False,893
AAL,American Airlines Group Inc.,2022-12-31,12.72,8280007680.0,"Airlines, Airports & Air Services",Industrials,False,False,898
AAON,"AAON, Inc.",2022-03-31,36.51,1993538693.0,Construction,Industrials,False,False,2108
AAON,"AAON, Inc.",2022-06-30,36.0,1970032684.0,Construction,Industrials,False,False,1905
AAON,"AAON, Inc.",2022-09-30,35.42,2872720534.0,Construction,Industrials,False,False,1557
AAON,"AAON, Inc.",2022-12-31,49.67,4015570658.0,Construction,Industrials,False,False,1358
AAP,"Advance Auto Parts, Inc.",2022-03-31,190.98,12776054720.0,Specialty Retail,Consumer Cyclical,False,False,786
AAP,"Advance Auto Parts, Inc.",2022-06-30,161.12,10463636680.0,Specialty Retail,Consumer Cyclical,False,False,784
AAP,"Advance Auto Parts, Inc.",2022-09-30,146.83,9388686020.0,Specialty Retail,Consumer Cyclical,False,False,815
AAP,"Advance Auto Parts, Inc.",2022-12-31,139.54,8723730990.0,Specialty Retail,Consumer Cyclical,False,False,875
AAPL,Apple Inc.,2022-03-31,171.6,2822211826450.0,Consumer Electronics,Technology,False,False,4
AAPL,Apple Inc.,2022-06-30,134.56,2191673827040.0,Consumer Electronics,Technology,False,False,3
AAPL,Apple Inc.,2022-09-30,136.21,2196374318599.0,Consumer Electronics,Technology,False,False,4
AAPL,Apple Inc.,2022-12-31,128.27,2064941499390.0,Consumer Electronics,Technology,False,False,4
AAT,"American Assets Trust, Inc.",2022-03-31,31.53,2888043244.0,REIT - Diversified,Real Estate,False,False,1787
AAT,"American Assets Trust, Inc.",2022-06-30,24.96,2263901923.0,REIT - Diversified,Real Estate,False,False,1800
AAT,"American Assets Trust, Inc.",2022-09-30,21.87,1545065137.0,REIT - Diversified,Real Estate,False,False,2094
