ticker,company_name,quarter_end_date,stock_price,market_cap,industry,sector,isETF,isFund,mkt_cap_rank
ABCL,AbCellera Biologics Inc.,2023-03-31,7.54,2178348125.0,Biotechnology,Healthcare,False,False,1866
ABCL,AbCellera Biologics Inc.,2023-06-30,6.46,1870149592.0,Biotechnology,Healthcare,False,False,2027
ABCL,AbCellera Biologics Inc.,2023-09-30,4.6,1331685468.0,Biotechnology,Healthcare,False,False,2244
ABCL,AbCellera Biologics Inc.,2023-12-31,5.71,1656164258.0,Biotechnology,Healthcare,False,False,2167
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2023-03-31,17.84,1731906450.0,Asset Management - Income,Financial Services,False,True,2070
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2023-06-30,18.19,1663012960.0,Asset Management - Income,Financial Services,False,True,2123
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2023-09-30,17.14,1579052000.0,Asset Management - Income,Financial Services,False,True,2122
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,2023-12-31,18.52,1684588640.0,Asset Management - Income,Financial Services,False,True,2146
ABEV,Ambev S.A.,2023-03-31,2.55,44388492000.0,Beverages - Alcoholic,Consumer Defensive,False,False,290
ABEV,Ambev S.A.,2023-06-30,2.88,50076732000.0,Beverages - Alcoholic,Consumer Defensive,False,False,256
ABEV,Ambev S.A.,2023-09-30,2.33,40623390000.0,Beverages - Alcoholic,Consumer Defensive,False,False,304
ABEV,Ambev S.A.,2023-12-31,2.66,44081991024.0,Beverages - Alcoholic,Consumer Defensive,False,False,311
ABG,"Asbury Automotive Group, Inc.",2023-03-31,210.0,4389000000.0,Auto - Dealerships,Consumer Cyclical,False,False,1323
ABG,"Asbury Automotive Group, Inc.",2023-06-30,240.419998,4952652000.0,Auto - Dealerships,Consumer Cyclical,False,False,1259
ABG,"Asbury Automotive Group, Inc.",2023-09-30,230.07,4739442000.0,Auto - Dealerships,Consumer Cyclical,False,False,1254
ABG,"Asbury Automotive Group, Inc.",2023-12-31,224.97,4589388000.0,Auto - Dealerships,Consumer Cyclical,False,False,1354
ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",2023-12-31,22.43,1597497289.0,Insurance - Life,Financial Services,False,False,2203
ABM,ABM Industries Incorporated,2023-03-31,42.94,2984016000.0,Specialty Business Services,Industrials,False,False,1610
ABM,ABM Industries Incorporated,2023-06-30,40.96,2827695000.0,Specialty Business Services,Industrials,False,False,1686
ABM,ABM Industries Incorporated,2023-09-30,38.63,2592648000.0,Specialty Business Services,Industrials,False,False,1711
ABM,ABM Industries Incorporated,2023-12-31,43.52,2846705000.0,Specialty Business Services,Industrials,False,False,1741
ABNB,"Airbnb, Inc.",2023-03-31,124.4,78994000000.0,Travel Services,Consumer Cyclical,False,False,157
